"Statistic Label","Year","Sex","NACE Rev 2 Sector","Age Group","UNIT","VALUE"
"Annual Change (Median Annual Earnings)","2012","Female","Transportation and storage (H)","15 years and over","%","1.3"
"Annual Change (Median Annual Earnings)","2012","Female","Accommodation and food service activities (I)","15 years and over","%","-2.2"
"Annual Change (Median Annual Earnings)","2012","Female","Information and communication (J)","15 years and over","%","0.9"
"Annual Change (Median Annual Earnings)","2012","Female","Financial, insurance and real estate activities (K,L)","15 years and over","%","0.9"
"Annual Change (Median Annual Earnings)","2012","Female","Professional, scientific and technical activities (M)","15 years and over","%","-0.7"
"Annual Change (Median Annual Earnings)","2012","Female","Administrative and support service activities (N)","15 years and over","%","1.1"
"Annual Change (Median Annual Earnings)","2012","Female","Public administration and defence; compulsory social security (O)","15 years and over","%","1.8"
"Annual Change (Median Annual Earnings)","2012","Female","Education (P)","15 years and over","%","0.3"
"Annual Change (Median Annual Earnings)","2012","Female","Human health and social work activities (Q)","15 years and over","%","-0.7"
"Annual Change (Median Annual Earnings)","2012","Female","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","-2"
"Annual Change (Median Annual Earnings)","2012","Female","All NACE economic sectors","15 years and over","%","0"
"Annual Change (Median Annual Earnings)","2013","Both sexes","Industry (B to E)","15 years and over","%","0.9"
"Annual Change (Median Annual Earnings)","2013","Both sexes","Construction (F)","15 years and over","%","2.2"
"Annual Change (Median Annual Earnings)","2013","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","0.4"
"Annual Change (Median Annual Earnings)","2013","Both sexes","Transportation and storage (H)","15 years and over","%","-0.3"
"Annual Change (Median Annual Earnings)","2013","Both sexes","Accommodation and food service activities (I)","15 years and over","%","-0.6"
"Annual Change (Median Annual Earnings)","2013","Both sexes","Information and communication (J)","15 years and over","%","3.3"
"Annual Change (Median Annual Earnings)","2013","Both sexes","Financial, insurance and real estate activities (K,L)","15 years and over","%","1.4"
"Annual Change (Median Annual Earnings)","2013","Both sexes","Professional, scientific and technical activities (M)","15 years and over","%","1.1"
"Annual Change (Median Annual Earnings)","2013","Both sexes","Administrative and support service activities (N)","15 years and over","%","0.2"
"Annual Change (Median Annual Earnings)","2013","Both sexes","Public administration and defence; compulsory social security (O)","15 years and over","%","1.1"
"Annual Change (Median Annual Earnings)","2013","Both sexes","Education (P)","15 years and over","%","0.4"
"Annual Change (Median Annual Earnings)","2013","Both sexes","Human health and social work activities (Q)","15 years and over","%","-0.1"
"Annual Change (Median Annual Earnings)","2013","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","-0.6"
"Annual Change (Median Annual Earnings)","2013","Both sexes","All NACE economic sectors","15 years and over","%","0.5"
"Annual Change (Median Annual Earnings)","2013","Male","Industry (B to E)","15 years and over","%","0.7"
"Annual Change (Median Annual Earnings)","2013","Male","Construction (F)","15 years and over","%","1.3"
"Annual Change (Median Annual Earnings)","2013","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","0.8"
"Annual Change (Median Annual Earnings)","2013","Male","Transportation and storage (H)","15 years and over","%","-0.4"
"Annual Change (Median Annual Earnings)","2013","Male","Accommodation and food service activities (I)","15 years and over","%","-0.8"
"Annual Change (Median Annual Earnings)","2013","Male","Information and communication (J)","15 years and over","%","3.5"
"Annual Change (Median Annual Earnings)","2013","Male","Financial, insurance and real estate activities (K,L)","15 years and over","%","0.7"
"Annual Change (Median Annual Earnings)","2013","Male","Professional, scientific and technical activities (M)","15 years and over","%","0"
"Annual Change (Median Annual Earnings)","2013","Male","Administrative and support service activities (N)","15 years and over","%","0"
"Annual Change (Median Annual Earnings)","2013","Male","Public administration and defence; compulsory social security (O)","15 years and over","%","1.9"
"Annual Change (Median Annual Earnings)","2013","Male","Education (P)","15 years and over","%","-0.8"
"Annual Change (Median Annual Earnings)","2013","Male","Human health and social work activities (Q)","15 years and over","%","-1.4"
"Annual Change (Median Annual Earnings)","2013","Male","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","-1.5"
"Annual Change (Median Annual Earnings)","2013","Male","All NACE economic sectors","15 years and over","%","0.1"
"Annual Change (Median Annual Earnings)","2013","Female","Industry (B to E)","15 years and over","%","1.9"
"Annual Change (Median Annual Earnings)","2013","Female","Construction (F)","15 years and over","%","0.9"
"Annual Change (Median Annual Earnings)","2013","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","0.3"
"Annual Change (Median Annual Earnings)","2013","Female","Transportation and storage (H)","15 years and over","%","1.5"
"Annual Change (Median Annual Earnings)","2013","Female","Accommodation and food service activities (I)","15 years and over","%","-0.6"
"Annual Change (Median Annual Earnings)","2013","Female","Information and communication (J)","15 years and over","%","2.4"
"Annual Change (Median Annual Earnings)","2013","Female","Financial, insurance and real estate activities (K,L)","15 years and over","%","1.3"
"Annual Change (Median Annual Earnings)","2013","Female","Professional, scientific and technical activities (M)","15 years and over","%","1.6"
"Annual Change (Median Annual Earnings)","2013","Female","Administrative and support service activities (N)","15 years and over","%","1.3"
"Annual Change (Median Annual Earnings)","2013","Female","Public administration and defence; compulsory social security (O)","15 years and over","%","1.2"
"Annual Change (Median Annual Earnings)","2013","Female","Education (P)","15 years and over","%","0.9"
"Annual Change (Median Annual Earnings)","2013","Female","Human health and social work activities (Q)","15 years and over","%","0.2"
"Annual Change (Median Annual Earnings)","2013","Female","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","0.3"
"Annual Change (Median Annual Earnings)","2013","Female","All NACE economic sectors","15 years and over","%","1.2"
"Annual Change (Median Annual Earnings)","2014","Both sexes","Industry (B to E)","15 years and over","%","1.7"
"Annual Change (Median Annual Earnings)","2014","Both sexes","Construction (F)","15 years and over","%","1.3"
"Annual Change (Median Annual Earnings)","2014","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","2.6"
"Annual Change (Median Annual Earnings)","2014","Both sexes","Transportation and storage (H)","15 years and over","%","0.4"
"Annual Change (Median Annual Earnings)","2014","Both sexes","Accommodation and food service activities (I)","15 years and over","%","0.2"
"Annual Change (Median Annual Earnings)","2014","Both sexes","Information and communication (J)","15 years and over","%","3.9"
"Annual Change (Median Annual Earnings)","2014","Both sexes","Financial, insurance and real estate activities (K,L)","15 years and over","%","1.1"
"Annual Change (Median Annual Earnings)","2014","Both sexes","Professional, scientific and technical activities (M)","15 years and over","%","2.1"
"Annual Change (Median Annual Earnings)","2014","Both sexes","Administrative and support service activities (N)","15 years and over","%","2.3"
"Annual Change (Median Annual Earnings)","2014","Both sexes","Public administration and defence; compulsory social security (O)","15 years and over","%","0.8"
"Annual Change (Median Annual Earnings)","2014","Both sexes","Education (P)","15 years and over","%","-2.1"
"Annual Change (Median Annual Earnings)","2014","Both sexes","Human health and social work activities (Q)","15 years and over","%","-0.7"
"Annual Change (Median Annual Earnings)","2014","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","-0.2"
"Annual Change (Median Annual Earnings)","2014","Both sexes","All NACE economic sectors","15 years and over","%","0.8"
"Annual Change (Median Annual Earnings)","2014","Male","Industry (B to E)","15 years and over","%","1.1"
"Annual Change (Median Annual Earnings)","2014","Male","Construction (F)","15 years and over","%","0.5"
"Annual Change (Median Annual Earnings)","2014","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","1.6"
"Annual Change (Median Annual Earnings)","2014","Male","Transportation and storage (H)","15 years and over","%","1"
"Annual Change (Median Annual Earnings)","2014","Male","Accommodation and food service activities (I)","15 years and over","%","1.3"
"Annual Change (Median Annual Earnings)","2014","Male","Information and communication (J)","15 years and over","%","4.5"
"Annual Change (Median Annual Earnings)","2014","Male","Financial, insurance and real estate activities (K,L)","15 years and over","%","1"
"Annual Change (Median Annual Earnings)","2014","Male","Professional, scientific and technical activities (M)","15 years and over","%","2"
"Annual Change (Median Annual Earnings)","2014","Male","Administrative and support service activities (N)","15 years and over","%","1.4"
"Annual Change (Median Annual Earnings)","2014","Male","Public administration and defence; compulsory social security (O)","15 years and over","%","1.2"
"Annual Change (Median Annual Earnings)","2014","Male","Education (P)","15 years and over","%","-2.3"
"Annual Change (Median Annual Earnings)","2014","Male","Human health and social work activities (Q)","15 years and over","%","-2.5"
"Annual Change (Median Annual Earnings)","2014","Male","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","1.2"
"Annual Change (Median Annual Earnings)","2014","Male","All NACE economic sectors","15 years and over","%","0.2"
"Annual Change (Median Annual Earnings)","2014","Female","Industry (B to E)","15 years and over","%","1.9"
"Annual Change (Median Annual Earnings)","2014","Female","Construction (F)","15 years and over","%","2.2"
"Annual Change (Median Annual Earnings)","2014","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","2.4"
"Annual Change (Median Annual Earnings)","2014","Female","Transportation and storage (H)","15 years and over","%","2"
"Annual Change (Median Annual Earnings)","2014","Female","Accommodation and food service activities (I)","15 years and over","%","0.1"
"Annual Change (Median Annual Earnings)","2014","Female","Information and communication (J)","15 years and over","%","1.7"
"Annual Change (Median Annual Earnings)","2014","Female","Financial, insurance and real estate activities (K,L)","15 years and over","%","1"
"Annual Change (Median Annual Earnings)","2014","Female","Professional, scientific and technical activities (M)","15 years and over","%","2.2"
"Annual Change (Median Annual Earnings)","2014","Female","Administrative and support service activities (N)","15 years and over","%","3.6"
"Annual Change (Median Annual Earnings)","2014","Female","Public administration and defence; compulsory social security (O)","15 years and over","%","2.3"
"Annual Change (Median Annual Earnings)","2014","Female","Education (P)","15 years and over","%","-2.2"
"Annual Change (Median Annual Earnings)","2014","Female","Human health and social work activities (Q)","15 years and over","%","-0.1"
"Annual Change (Median Annual Earnings)","2014","Female","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","-0.8"
"Annual Change (Median Annual Earnings)","2014","Female","All NACE economic sectors","15 years and over","%","1.1"
"Annual Change (Median Annual Earnings)","2015","Both sexes","Industry (B to E)","15 years and over","%","0.3"
"Annual Change (Median Annual Earnings)","2015","Both sexes","Construction (F)","15 years and over","%","-1.1"
"Annual Change (Median Annual Earnings)","2015","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","2.5"
"Annual Change (Median Annual Earnings)","2015","Both sexes","Transportation and storage (H)","15 years and over","%","-0.3"
"Annual Change (Median Annual Earnings)","2015","Both sexes","Accommodation and food service activities (I)","15 years and over","%","2"
"Annual Change (Median Annual Earnings)","2015","Both sexes","Information and communication (J)","15 years and over","%","2.4"
"Annual Change (Median Annual Earnings)","2015","Both sexes","Financial, insurance and real estate activities (K,L)","15 years and over","%","0.5"
"Annual Change (Median Annual Earnings)","2015","Both sexes","Professional, scientific and technical activities (M)","15 years and over","%","2.8"
"Annual Change (Median Annual Earnings)","2015","Both sexes","Administrative and support service activities (N)","15 years and over","%","2.2"
"Annual Change (Median Annual Earnings)","2015","Both sexes","Public administration and defence; compulsory social security (O)","15 years and over","%","0.1"
"Annual Change (Median Annual Earnings)","2015","Both sexes","Education (P)","15 years and over","%","1"
"Annual Change (Median Annual Earnings)","2015","Both sexes","Human health and social work activities (Q)","15 years and over","%","0.6"
"Annual Change (Median Annual Earnings)","2015","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","0.6"
"Annual Change (Median Annual Earnings)","2015","Both sexes","All NACE economic sectors","15 years and over","%","1.1"
"Annual Change (Median Annual Earnings)","2015","Male","Industry (B to E)","15 years and over","%","-0.2"
"Annual Change (Median Annual Earnings)","2015","Male","Construction (F)","15 years and over","%","-1.5"
"Annual Change (Median Annual Earnings)","2015","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","2.4"
"Annual Change (Median Annual Earnings)","2015","Male","Transportation and storage (H)","15 years and over","%","-1.6"
"Annual Change (Median Annual Earnings)","2015","Male","Accommodation and food service activities (I)","15 years and over","%","2.5"
"Annual Change (Median Annual Earnings)","2015","Male","Information and communication (J)","15 years and over","%","2.4"
"Annual Change (Median Annual Earnings)","2015","Male","Financial, insurance and real estate activities (K,L)","15 years and over","%","-1.1"
"Annual Change (Median Annual Earnings)","2015","Male","Professional, scientific and technical activities (M)","15 years and over","%","1.3"
"Annual Change (Median Annual Earnings)","2015","Male","Administrative and support service activities (N)","15 years and over","%","2"
"Annual Change (Median Annual Earnings)","2015","Male","Public administration and defence; compulsory social security (O)","15 years and over","%","-2.2"
"Annual Change (Median Annual Earnings)","2015","Male","Education (P)","15 years and over","%","-0.3"
"Annual Change (Median Annual Earnings)","2015","Male","Human health and social work activities (Q)","15 years and over","%","-0.3"
"Annual Change (Median Annual Earnings)","2015","Male","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","0.8"
"Annual Change (Median Annual Earnings)","2015","Male","All NACE economic sectors","15 years and over","%","0.1"
"Annual Change (Median Annual Earnings)","2015","Female","Industry (B to E)","15 years and over","%","1.7"
"Annual Change (Median Annual Earnings)","2015","Female","Construction (F)","15 years and over","%","-0.3"
"Annual Change (Median Annual Earnings)","2015","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","2.4"
"Annual Change (Median Annual Earnings)","2015","Female","Transportation and storage (H)","15 years and over","%","1.6"
"Annual Change (Median Annual Earnings)","2015","Female","Accommodation and food service activities (I)","15 years and over","%","2.5"
"Annual Change (Median Annual Earnings)","2015","Female","Information and communication (J)","15 years and over","%","1.9"
"Annual Change (Median Annual Earnings)","2015","Female","Financial, insurance and real estate activities (K,L)","15 years and over","%","0.4"
"Annual Change (Median Annual Earnings)","2015","Female","Professional, scientific and technical activities (M)","15 years and over","%","2.5"
"Annual Change (Median Annual Earnings)","2015","Female","Administrative and support service activities (N)","15 years and over","%","2"
"Annual Change (Median Annual Earnings)","2015","Female","Public administration and defence; compulsory social security (O)","15 years and over","%","1.1"
"Annual Change (Median Annual Earnings)","2015","Female","Education (P)","15 years and over","%","0.6"
"Annual Change (Median Annual Earnings)","2015","Female","Human health and social work activities (Q)","15 years and over","%","0.6"
"Annual Change (Median Annual Earnings)","2015","Female","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","1.1"
"Annual Change (Median Annual Earnings)","2015","Female","All NACE economic sectors","15 years and over","%","1.4"
"Annual Change (Median Annual Earnings)","2016","Both sexes","Industry (B to E)","15 years and over","%","1.2"
"Annual Change (Median Annual Earnings)","2016","Both sexes","Construction (F)","15 years and over","%","1"
"Annual Change (Median Annual Earnings)","2016","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","3.2"
"Annual Change (Median Annual Earnings)","2016","Both sexes","Transportation and storage (H)","15 years and over","%","1"
"Annual Change (Median Annual Earnings)","2016","Both sexes","Accommodation and food service activities (I)","15 years and over","%","3"
"Annual Change (Median Annual Earnings)","2016","Both sexes","Information and communication (J)","15 years and over","%","1.4"
"Annual Change (Median Annual Earnings)","2016","Both sexes","Financial, insurance and real estate activities (K,L)","15 years and over","%","1.3"
"Annual Change (Median Annual Earnings)","2016","Both sexes","Professional, scientific and technical activities (M)","15 years and over","%","4.2"
"Annual Change (Median Annual Earnings)","2016","Both sexes","Administrative and support service activities (N)","15 years and over","%","2.8"
"Annual Change (Median Annual Earnings)","2016","Both sexes","Public administration and defence; compulsory social security (O)","15 years and over","%","-1.8"
"Annual Change (Median Annual Earnings)","2016","Both sexes","Education (P)","15 years and over","%","-3"
"Annual Change (Median Annual Earnings)","2016","Both sexes","Human health and social work activities (Q)","15 years and over","%","-0.6"
"Annual Change (Median Annual Earnings)","2016","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","1.1"
"Annual Change (Median Annual Earnings)","2016","Both sexes","All NACE economic sectors","15 years and over","%","0.7"
"Annual Change (Median Annual Earnings)","2016","Male","Industry (B to E)","15 years and over","%","0.9"
"Annual Change (Median Annual Earnings)","2016","Male","Construction (F)","15 years and over","%","0.1"
"Annual Change (Median Annual Earnings)","2016","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","2.4"
"Annual Change (Median Annual Earnings)","2016","Male","Transportation and storage (H)","15 years and over","%","2"
"Annual Change (Median Annual Earnings)","2016","Male","Accommodation and food service activities (I)","15 years and over","%","3.2"
"Annual Change (Median Annual Earnings)","2016","Male","Information and communication (J)","15 years and over","%","1.4"
"Annual Change (Median Annual Earnings)","2016","Male","Financial, insurance and real estate activities (K,L)","15 years and over","%","1.1"
"Annual Change (Median Annual Earnings)","2016","Male","Professional, scientific and technical activities (M)","15 years and over","%","3.3"
"Annual Change (Median Annual Earnings)","2016","Male","Administrative and support service activities (N)","15 years and over","%","2.8"
"Annual Change (Median Annual Earnings)","2016","Male","Public administration and defence; compulsory social security (O)","15 years and over","%","-1.2"
"Annual Change (Median Annual Earnings)","2016","Male","Education (P)","15 years and over","%","-1.7"
"Annual Change (Median Annual Earnings)","2016","Male","Human health and social work activities (Q)","15 years and over","%","-1.5"
"Annual Change (Median Annual Earnings)","2016","Male","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","-0.2"
"Annual Change (Median Annual Earnings)","2016","Male","All NACE economic sectors","15 years and over","%","0.8"
"Annual Change (Median Annual Earnings)","2016","Female","Industry (B to E)","15 years and over","%","1"
"Annual Change (Median Annual Earnings)","2016","Female","Construction (F)","15 years and over","%","3.4"
"Annual Change (Median Annual Earnings)","2016","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","3.4"
"Annual Change (Median Annual Earnings)","2016","Female","Transportation and storage (H)","15 years and over","%","0"
"Annual Change (Median Annual Earnings)","2016","Female","Accommodation and food service activities (I)","15 years and over","%","3"
"Annual Change (Median Annual Earnings)","2016","Female","Information and communication (J)","15 years and over","%","1.6"
"Annual Change (Median Annual Earnings)","2016","Female","Financial, insurance and real estate activities (K,L)","15 years and over","%","1.4"
"Annual Change (Median Annual Earnings)","2016","Female","Professional, scientific and technical activities (M)","15 years and over","%","4.6"
"Annual Change (Median Annual Earnings)","2016","Female","Administrative and support service activities (N)","15 years and over","%","3.2"
"Annual Change (Median Annual Earnings)","2016","Female","Public administration and defence; compulsory social security (O)","15 years and over","%","-1"
"Annual Change (Median Annual Earnings)","2016","Female","Education (P)","15 years and over","%","-3"
"Annual Change (Median Annual Earnings)","2016","Female","Human health and social work activities (Q)","15 years and over","%","-0.3"
"Annual Change (Median Annual Earnings)","2016","Female","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","2"
"Annual Change (Median Annual Earnings)","2016","Female","All NACE economic sectors","15 years and over","%","0.8"
"Annual Change (Median Annual Earnings)","2017","Both sexes","Industry (B to E)","15 years and over","%","1.4"
"Annual Change (Median Annual Earnings)","2017","Both sexes","Construction (F)","15 years and over","%","1.8"
"Annual Change (Median Annual Earnings)","2017","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","1.8"
"Annual Change (Median Annual Earnings)","2017","Both sexes","Transportation and storage (H)","15 years and over","%","-1.3"
"Annual Change (Median Annual Earnings)","2017","Both sexes","Accommodation and food service activities (I)","15 years and over","%","2.9"
"Annual Change (Median Annual Earnings)","2017","Both sexes","Information and communication (J)","15 years and over","%","3.6"
"Annual Change (Median Annual Earnings)","2017","Both sexes","Financial, insurance and real estate activities (K,L)","15 years and over","%","2.7"
"Annual Change (Median Annual Earnings)","2017","Both sexes","Professional, scientific and technical activities (M)","15 years and over","%","2.3"
"Annual Change (Median Annual Earnings)","2017","Both sexes","Administrative and support service activities (N)","15 years and over","%","3.7"
"Annual Change (Median Annual Earnings)","2017","Both sexes","Public administration and defence; compulsory social security (O)","15 years and over","%","2.1"
"Annual Change (Median Annual Earnings)","2017","Both sexes","Education (P)","15 years and over","%","2.7"
"Annual Change (Median Annual Earnings)","2017","Both sexes","Human health and social work activities (Q)","15 years and over","%","2.2"
"Annual Change (Median Annual Earnings)","2017","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","2.1"
"Annual Change (Median Annual Earnings)","2017","Both sexes","All NACE economic sectors","15 years and over","%","2.2"
"Annual Change (Median Annual Earnings)","2017","Male","Industry (B to E)","15 years and over","%","1.2"
"Annual Change (Median Annual Earnings)","2017","Male","Construction (F)","15 years and over","%","1.6"
"Annual Change (Median Annual Earnings)","2017","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","1.9"
"Annual Change (Median Annual Earnings)","2017","Male","Transportation and storage (H)","15 years and over","%","-1.6"
"Annual Change (Median Annual Earnings)","2017","Male","Accommodation and food service activities (I)","15 years and over","%","3.8"
"Annual Change (Median Annual Earnings)","2017","Male","Information and communication (J)","15 years and over","%","3.1"
"Annual Change (Median Annual Earnings)","2017","Male","Financial, insurance and real estate activities (K,L)","15 years and over","%","2.1"
"Annual Change (Median Annual Earnings)","2017","Male","Professional, scientific and technical activities (M)","15 years and over","%","2.3"
"Annual Change (Median Annual Earnings)","2017","Male","Administrative and support service activities (N)","15 years and over","%","3.8"
"Annual Change (Median Annual Earnings)","2017","Male","Public administration and defence; compulsory social security (O)","15 years and over","%","1.7"
"Annual Change (Median Annual Earnings)","2017","Male","Education (P)","15 years and over","%","2.3"
"Annual Change (Median Annual Earnings)","2017","Male","Human health and social work activities (Q)","15 years and over","%","1.5"
"Annual Change (Median Annual Earnings)","2017","Male","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","1.8"
"Annual Change (Median Annual Earnings)","2017","Male","All NACE economic sectors","15 years and over","%","1.7"
"Annual Change (Median Annual Earnings)","2017","Female","Industry (B to E)","15 years and over","%","1.9"
"Annual Change (Median Annual Earnings)","2017","Female","Construction (F)","15 years and over","%","3.3"
"Annual Change (Median Annual Earnings)","2017","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","1.4"
"Annual Change (Median Annual Earnings)","2017","Female","Transportation and storage (H)","15 years and over","%","1.1"
"Annual Change (Median Annual Earnings)","2017","Female","Accommodation and food service activities (I)","15 years and over","%","2.5"
"Annual Change (Median Annual Earnings)","2017","Female","Information and communication (J)","15 years and over","%","4.2"
"Annual Change (Median Annual Earnings)","2017","Female","Financial, insurance and real estate activities (K,L)","15 years and over","%","2.5"
"Annual Change (Median Annual Earnings)","2017","Female","Professional, scientific and technical activities (M)","15 years and over","%","2.4"
"Annual Change (Median Annual Earnings)","2017","Female","Administrative and support service activities (N)","15 years and over","%","5.7"
"Annual Change (Median Annual Earnings)","2017","Female","Public administration and defence; compulsory social security (O)","15 years and over","%","2.4"
"Annual Change (Median Annual Earnings)","2017","Female","Education (P)","15 years and over","%","2.3"
"Annual Change (Median Annual Earnings)","2017","Female","Human health and social work activities (Q)","15 years and over","%","2.3"
"Annual Change (Median Annual Earnings)","2017","Female","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","2.5"
"Annual Change (Median Annual Earnings)","2017","Female","All NACE economic sectors","15 years and over","%","2.1"
"Annual Change (Median Annual Earnings)","2018","Both sexes","Industry (B to E)","15 years and over","%","3.6"
"Annual Change (Median Annual Earnings)","2018","Both sexes","Construction (F)","15 years and over","%","4.1"
"Annual Change (Median Annual Earnings)","2018","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","2.7"
"Annual Change (Median Annual Earnings)","2018","Both sexes","Transportation and storage (H)","15 years and over","%","3.8"
"Annual Change (Median Annual Earnings)","2018","Both sexes","Accommodation and food service activities (I)","15 years and over","%","3.1"
"Annual Change (Median Annual Earnings)","2018","Both sexes","Information and communication (J)","15 years and over","%","3.2"
"Annual Change (Median Annual Earnings)","2018","Both sexes","Financial, insurance and real estate activities (K,L)","15 years and over","%","3.8"
"Annual Change (Median Annual Earnings)","2018","Both sexes","Professional, scientific and technical activities (M)","15 years and over","%","3.4"
"Annual Change (Median Annual Earnings)","2018","Both sexes","Administrative and support service activities (N)","15 years and over","%","4.5"
"Annual Change (Median Annual Earnings)","2018","Both sexes","Public administration and defence; compulsory social security (O)","15 years and over","%","1.2"
"Annual Change (Median Annual Earnings)","2018","Both sexes","Education (P)","15 years and over","%","1.2"
"Annual Change (Median Annual Earnings)","2018","Both sexes","Human health and social work activities (Q)","15 years and over","%","2.5"
"Annual Change (Median Annual Earnings)","2018","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","2.9"
"Annual Change (Median Annual Earnings)","2018","Both sexes","All NACE economic sectors","15 years and over","%","3.3"
"Annual Change (Median Annual Earnings)","2018","Male","Industry (B to E)","15 years and over","%","3.3"
"Annual Change (Median Annual Earnings)","2018","Male","Construction (F)","15 years and over","%","4.7"
"Annual Change (Median Annual Earnings)","2018","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","2.9"
"Annual Change (Median Annual Earnings)","2018","Male","Transportation and storage (H)","15 years and over","%","4"
"Annual Change (Median Annual Earnings)","2018","Male","Accommodation and food service activities (I)","15 years and over","%","3.7"
"Annual Change (Median Annual Earnings)","2018","Male","Information and communication (J)","15 years and over","%","3.6"
"Annual Change (Median Annual Earnings)","2018","Male","Financial, insurance and real estate activities (K,L)","15 years and over","%","4.3"
"Annual Change (Median Annual Earnings)","2018","Male","Professional, scientific and technical activities (M)","15 years and over","%","1.9"
"Annual Change (Median Annual Earnings)","2018","Male","Administrative and support service activities (N)","15 years and over","%","4"
"Annual Change (Median Annual Earnings)","2018","Male","Public administration and defence; compulsory social security (O)","15 years and over","%","0.8"
"Annual Change (Median Annual Earnings)","2018","Male","Education (P)","15 years and over","%","1.6"
"Annual Change (Median Annual Earnings)","2018","Male","Human health and social work activities (Q)","15 years and over","%","3.2"
"Annual Change (Median Annual Earnings)","2018","Male","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","2.1"
"Annual Change (Median Annual Earnings)","2018","Male","All NACE economic sectors","15 years and over","%","3.5"
"Annual Change (Median Annual Earnings)","2018","Female","Industry (B to E)","15 years and over","%","4.3"
"Annual Change (Median Annual Earnings)","2018","Female","Construction (F)","15 years and over","%","2.9"
"Annual Change (Median Annual Earnings)","2018","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","2.5"
"Annual Change (Median Annual Earnings)","2018","Female","Transportation and storage (H)","15 years and over","%","3.9"
"Annual Change (Median Annual Earnings)","2018","Female","Accommodation and food service activities (I)","15 years and over","%","2.5"
"Annual Change (Median Annual Earnings)","2018","Female","Information and communication (J)","15 years and over","%","3.7"
"Annual Change (Median Annual Earnings)","2018","Female","Financial, insurance and real estate activities (K,L)","15 years and over","%","3"
"Annual Change (Median Annual Earnings)","2018","Female","Professional, scientific and technical activities (M)","15 years and over","%","3.1"
"Annual Change (Median Annual Earnings)","2018","Female","Administrative and support service activities (N)","15 years and over","%","4.4"
"Annual Change (Median Annual Earnings)","2018","Female","Public administration and defence; compulsory social security (O)","15 years and over","%","0.9"
"Annual Change (Median Annual Earnings)","2018","Female","Education (P)","15 years and over","%","0.1"
"Annual Change (Median Annual Earnings)","2018","Female","Human health and social work activities (Q)","15 years and over","%","2.4"
"Annual Change (Median Annual Earnings)","2018","Female","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","3.3"
"Annual Change (Median Annual Earnings)","2018","Female","All NACE economic sectors","15 years and over","%","2.8"
"Annual Change (Median Annual Earnings)","2019","Both sexes","Industry (B to E)","15 years and over","%","2.7"
"Annual Change (Median Annual Earnings)","2019","Both sexes","Construction (F)","15 years and over","%","5.1"
"Annual Change (Median Annual Earnings)","2019","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","4.2"
"Annual Change (Median Annual Earnings)","2019","Both sexes","Transportation and storage (H)","15 years and over","%","3.3"
